Jack Stack Barbecue - Freight House,ChIJmzokTUDwwIcRwp_X-3ZvQMw,4.6,101 West 22nd Street, Kansas City
Arthur Bryant's Barbeque,ChIJqYAqX5n6wIcR3g1EmKf9Il4,4.3,1727 Brooklyn Avenue, Kansas City
Pierpont's at Union Station,ChIJxbu2nD_wwIcRp1jUF0d0zw8,4.5,30 West Pershing Road, Kansas City
Lidia’s,ChIJmzokTUDwwIcR7_VCw9FDFMk,4.4,101 West 22nd Street, Kansas City
Grinders Pizza,ChIJ29SyTWnwwIcRYYYjzNhRpF4,4.5,417 East 18th Street, Kansas City
Garozzo's Downtown,ChIJOaH2MobwwIcRpWNKmpATnGs,4.7,526 Harrison Street, Kansas City
Fritz's,ChIJxcU3dxXwwIcR9YHEsRXeGd0,4,2450 Grand Boulevard, Kansas City
Bristol Seafood + Steak + Social,ChIJY-R_jGfwwIcR715DH3KCC_Y,4.3,51 East 14th Street, Kansas City
The Westside Local,ChIJPeV2e0XwwIcRTAAgiXd0NDE,4.6,1663 Summit Street, Kansas City
Panera Bread,ChIJPcqpDxXwwIcRE1uIVvdKOmc,3.8,2405 Grand Boulevard, Kansas City
Einstein Bros. Bagels,ChIJxcU3dxXwwIcR0_9L7_TCfPk,3.7,2450 Grand Boulevard Ste 121, Kansas City
Café Gratitude Kansas City,ChIJNbkvmEfwwIcRgDQHw2mU5QE,4.6,333 Southwest Boulevard, Kansas City
Gates Bar-B-Q,ChIJP8it9IT6wIcRBj3rdEf-MiU,4.2,1221 Brooklyn Avenue, Kansas City
Anderson Restaurant Group,ChIJp391fz_wwIcR1_ylst-my7c,undefined,Union Station, Downtown, Crown Center District, 30 West Pershing Road APT 370, Kansas City
Lulu's Thai Noodle Shop,ChIJI-q010bwwIcRnsOHqUT2sxY,4.3,2030 Central Street, Kansas City
Manny's Mexican Restaurant,ChIJmzTTFEHwwIcREVw7h-jrDrE,4.3,207 Southwest Boulevard, Kansas City
blue bird bistro,ChIJe94TgU_wwIcRd-PpR2HYhVI,4.2,1700 Summit Street, Kansas City
Harry's Country Club,ChIJ8ZRp9orwwIcRzZyOqt4RvgU,4.5,112 East Missouri Avenue, Kansas City
Jason's Deli,ChIJ0YCe8F3wwIcRJeMiBrTmKP4,4.3,1111 Main Street Suite 112, Kansas City
Majestic,ChIJzw6nMlnwwIcR2BWTU18-JlQ,4.5,931 Broadway Boulevard, Kansas City
